일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일사(MJ/m2),CDD_18,HDD_18,불쾌지수(DI)
2021-01-01 00:00:00,-8.608069999999998,0.0039339066,1.1159427165762559,58.158500131355375,0.0,0.0,26.608069999999998,26.054536622981594
2021-01-01 01:00:00,-8.35714999999999,0.004991889,0.8870097125634308,57.10631846589386,0.0,0.0,26.35714999999999,26.63976887264147
2021-01-01 02:00:00,-7.978579999999965,0.004544854,0.9098649200780643,55.76585549245543,0.0,0.0,25.978579999999965,27.45800270536047
2021-01-01 03:00:00,-8.613869999999963,0.0005662441,1.1025709732302842,58.2073039310209,0.0,0.0,26.613869999999963,26.035358361652264
2021-01-01 04:00:00,-9.469759999999951,0.0,1.400428457336404,60.29425478193404,0.0,0.0,27.46975999999995,24.3547919567622
2021-01-01 05:00:00,-9.518959999999993,0.0,0.9405391808159388,58.49635850854678,0.0,0.0,27.518959999999993,24.71210061507151
2021-01-01 06:00:00,-9.287149999999997,0.0,0.7474476752491599,56.18140792770484,0.0,0.0,27.287149999999997,25.57799205624395
2021-01-01 07:00:00,-10.11627999999996,0.0,1.2180001950625787,60.886487465828196,0.0,0.0,28.11627999999996,23.30119241372062
2021-01-01 08:00:00,-10.202859999999987,0.0,1.31054406299754,61.61752405377137,0.002536,0.0,28.202859999999987,23.000495242784822
2021-01-01 09:00:00,-8.091649999999959,0.00010430813,0.9737858289326242,53.672772492407795,0.2664,0.0,26.09164999999996,27.770974267157644
2021-01-01 10:00:00,-5.391579999999976,0.000107102096,0.9384794850785897,43.55583238174923,0.80291175,0.0,23.391579999999976,33.37947209735725
2021-01-01 11:00:00,-3.4266700000000014,9.313226e-07,0.8627528754844287,40.418522349049354,1.3348432,0.0,21.42667,36.37338931810555
2021-01-01 12:00:00,-1.985879999999952,0.0,1.7024301528160382,41.07385060332865,1.68829,0.0,19.985879999999952,38.01035595320629
2021-01-01 13:00:00,-1.2554999999999836,0.00010803342,2.3501253547119068,45.42718510589097,1.597595,0.0,19.255499999999984,38.2223226039432
2021-01-01 14:00:00,-0.6097199999999816,0.00010430813,2.9721653251565945,49.083287950569634,1.450186,0.0,18.60971999999998,38.490938706009274
2021-01-01 15:00:00,-0.22208000000000538,0.00011175870999999999,3.049299616863603,48.98306111359005,1.349812,0.0,18.222080000000005,39.00784369445677
2021-01-01 16:00:00,-0.6831999999999994,0.0005662441,2.868646804566056,54.0953458816147,0.738528,0.0,18.6832,37.64508992989654
2021-01-01 17:00:00,-1.4619799999999827,0.002361834,1.8346126338053204,59.94218010473189,0.308436,0.0,19.461979999999983,35.67648518717516
2021-01-01 18:00:00,-2.6503399999999715,0.00010430813,1.3270221448599238,67.30873758706439,0.015402,0.0,20.65033999999997,32.76200383324248
2021-01-01 19:00:00,-4.04079999999999,0.00010430813,1.2277165978179096,75.03790518927099,0.0,0.0,22.04079999999999,29.294721201775083
2021-01-01 20:00:00,-4.960999999999956,7.450581000000001e-06,1.4357754562563048,77.97584265229138,0.0,0.0,22.960999999999956,27.30134676228203
2021-01-01 21:00:00,-5.834569999999985,0.0,1.8087835337108997,77.52326982651245,0.0,0.0,23.834569999999985,26.010252764935164
2021-01-01 22:00:00,-5.938819999999964,0.0,2.060697084508759,67.26926819360777,0.0,0.0,23.938819999999964,27.91499970251188
2021-01-01 23:00:00,-6.087130000000002,0.00010430813,2.016863475868411,53.123473041269975,0.0,0.0,24.087130000000002,30.571410139206705
2021-01-02 00:00:00,-6.002779999999973,0.0,1.9479393773797198,40.6964438944254,0.0,0.0,24.002779999999973,33.199667908239476
2021-01-02 01:00:00,-6.022159999999985,0.0,1.9076347249479078,34.518945188424716,0.0,0.0,24.022159999999985,34.42784298959164
2021-01-02 02:00:00,-6.6562999999999874,0.0,2.0297390808239766,33.784096060457394,0.0,0.0,24.656299999999987,33.8509881851431
2021-01-02 03:00:00,-7.1057199999999625,-1.4901161e-05,2.1416303840991353,33.189861128069225,0.0,0.0,25.105719999999963,33.4634218445382
2021-01-02 04:00:00,-7.15564999999998,0.0,2.1283137269360455,37.556430358106226,0.0,0.0,25.15564999999998,32.47282131696021
2021-01-02 05:00:00,-7.609299999999962,0.0,2.0163091928652457,36.6445455520246,0.0,0.0,25.609299999999962,32.13578751541722
2021-01-02 06:00:00,-7.971599999999967,0.0,1.8862199423697863,35.039630869859515,0.0,0.0,25.971599999999967,32.067049763332626
2021-01-02 07:00:00,-8.31619999999998,0.0,1.8297319174726716,33.65096185610634,0.0,0.0,26.31619999999998,31.981293977598078
2021-01-02 08:00:00,-8.62851999999998,0.0,1.9073777963798624,32.76283717268087,0.002536,0.0,26.62851999999998,31.827134605874576
2021-01-02 09:00:00,-7.368259999999964,0.0,2.4085565611826727,25.949865532916665,0.285356,0.0,25.368259999999964,34.727945602298426
2021-01-02 10:00:00,-6.112199999999973,0.0,2.737798867993228,22.099157537039172,0.862476,0.0,24.112199999999973,36.85170121229431
2021-01-02 11:00:00,-4.925699999999949,0.0,3.002472064056092,20.721297375271057,1.3835395,0.0,22.92569999999995,38.336575219970705
2021-01-02 12:00:00,-3.869699999999966,0.0,3.287231245849759,20.737602863531087,1.7364235,0.0,21.869699999999966,39.40560760268513
2021-01-02 13:00:00,-3.095429999999965,0.0,3.5743087169182743,21.515981047450854,1.860026,0.0,21.095429999999965,40.05656439939883
2021-01-02 14:00:00,-2.677129999999977,0.0,3.65057622502809,23.14146414872014,1.767981,0.0,20.677129999999977,40.208963518360065
2021-01-02 15:00:00,-2.626350000000002,0.0,3.523763335908195,25.165182427313898,1.449088,0.0,20.626350000000002,39.91971890190115
2021-01-02 16:00:00,-2.8401999999999816,0.0,3.5845033240849826,28.991324388549067,0.95899,0.0,20.84019999999998,39.03850113310677
2021-01-02 17:00:00,-3.5959799999999973,0.0,2.9869479265093495,31.731484978668114,0.385988,0.0,21.595979999999997,37.720006573049915
2021-01-02 18:00:00,-4.528169999999989,0.0,2.8022963745384772,35.42263265638699,0.018,0.0,22.52816999999999,35.97878877523152
